CEN
p co | KS | mT | NE | NM] ND | OK YT sD | mx | hwy
"1999 1,749 3,286 2,529 1,117 5,932 1,445 1,180 5,212 363 22,812"
"2000 3,495 7,850 1,146 4,208 60 5,074 2,196 3,333 17,541 1,366 46,269"
"2001 10,299 5,351 2,124 4,192 9,615 1,056 4,793 11,716 757 49,902"
"2002 15,011 9,544 5,690 9,194 112 7,038 7,304 6,970 15,674 2,116 78,653"
"2003 ' 8,876 5,593 4,787 10,782 248 9,573 8,577 7,432 4,810 3,468 64,144"
"2004 ' 3,510 3646 5,716 8,485 13,289 10,699 5,198 9,981 397 60,921"
"2005 ' 1,555 5,046 8,782 2,906 22,265 4,886 4,572 1,039 51,052"
"2006 ' 22,679 5,373 13,785 5,458 468 18,887 9,109 12,813 18,105 6,240 112,916"
"2007 ' 6,404 5,034 16,497 4,281 1,931 12,674 2,864 5,739 5,158 1,425 62,007"
"2008 ' 45,136 17,745 11,169 11,498 1,608 18,155 5,314 14,340 12,619 5,616 143,201"
"2009 ' 1,548 2,133 22,962 5,645 16,746 2,120 10,098 1,560 3,950 66,760"
"2010 ' 6,241 6,397 15,892 13,615 55 37,907 4,366 4,768 3,339 1,703 94,284"
"2011 ' 2,457 7,178 19,276 3,780 2,067 25,464 313 8,047 795 = 1,821 71,199"
"2012 ' 2,241 4,029 44,746 9,462 22,591 2,969 4,675 763 412 91,888"
"2013 ' 8,577 1,062 27,326 9,732 67 10,146 4,827 2,134 5,429 5,902 75,202"
"2014 ' 11,002 15,728 46,183 3,505 146 14,815 4,904 8,327 0 722 105,331"
"2015 ' 11,584 8,268 453 3,869 381 10,438 9,026 7,009 0 374 51,402"
"2016 ' 26,656 14,991 1,935 9,027 183. 12,550 4,476 6,610 13,343 2,039 91,810"
"2017 ' 28,525 19,257 3,959 7,515 21 16,396 11,804 5,598 1,775 = 2,782 97,632"
"2018 ' 1,365 877 109 1,495 0 739 = 2,545 557 2,971 181 10,839"
"2019 '? 149 693 330 501 0 1,448 1,966 6,182 1,600 295 13,164"
