CEN ATL MISS PAC
CE
1999 0.70 1.08 0.99 0.88 0.88
2000 0.44 0.50 0.59 0.94 0.66
2001 0.76 1.02 1.17 1.02 0.99
2002 0.88 0.92 1.31 1.67 1.30
2003 ' 1.34 0.90 1.31 1.11 1.21
2004 ' 0.80 0.75 1.30 1.23 1.09
2005 ' 0.80 0.84 1.85 2.05 1.48
2006 ' 0.83 1.95 2.62 1.38 1.40
2007 ' 0.82 1.22 1.65 1.31 1.26
2008 ' 0.94 0.67 0.91 1.09 1.02
2009 ' 0.71 0.66 1.37 1.29 1.10
2010 ' 1.11 1.79 1.69 1.34 1.41
2011 ' 0.76 1.43 1.97 1.76 1.48
2012 ' 0.73 0.99 1.38 1.21 1.08
2013 ' 0.84 1.03 1.27 1.52 1.24
2014 ' 0.95 0.68 1.70 1.58 1.35
2015 ' 1.14 0.93 2.37 1.27 1.31
2016 ' 0.67 0.50 1.71 0.95 0.93
2017 ' 0.89 1.09 1.54 1.22 1.19
2018 ' 0.97 0.60 1.97 1.16 1.12
2019 ' 1.07 0.71 1.46 1.21 1.24
2020 ' 1.13 0.70 1.64 1.10 1.16
2021 ' 1.50 1.62 2.29 1.19 1.39
2022 ' 1.08 1.30 2.28 1.66 1.55
