CEN ATL Miss PAC,,
[co] KS] mT_]_NE] NM] ND] OK] SD] 1 | wy] as,,
"1999 2,360 28,022 0 1,690 7,852 130,094 170,018 24,787 437,537 632,342",,
"2000 1,610 27,724 10,308 3,244 9,597 196,688 249,171 21,376 430,937 701,484",,
"2001 1,132 10,741 10,423 1,617 10,183 218,060 252,156 19,600 265,628 537,384",,
"2002 470 8,723 4,775 1,065 2,645 62,035 79,713 13,123 112,946 205,782",,
"2003 ' 3,581 21,393 13,108 1,891 13,792 99,894 153,659 10,920 296,755 461,334",,
"2004 ' 4,287 19,173 6,060 517 2,767 63,033 95,837 6,688 106,309 208,834",,
"2005 ' 3,896 10,387 5,087 260 7,485 89,044 116,159 15,357 100,272 231,788",,
"2006 ' 2,340 23,664 11,167 2,079 10,971 133,622 183,843 17,845 265,213 466,901",,
"2007 ' 6,047 25,582 27,010 3,321 22,209 144,405 228,574 21,982 303,920 554,476",,
"2008 ' 4,657 15,120 20,037 256 8,586 59,247 107,903 5,370 195,150 308,423",,
"2009 ' 2,092 15,165 11,513 755 8,006 130,142 167,673 17,409 244,657 429,739",,
"2010 ' 2,518 16,829 12,112 565 7,507 113,926 153,457 27,003 291,509 471,969",,
"20111 5,718 22,562 17,892 2,141 5,753 159,406 213,472 41,521 378,119 633,112",,
"20121 4,595 19,420 14,868 769 14,087 195,222 248,961 25,071 554,675 828,707",,
"2013 ' 4156 28,213 11,606 2,891 12,426 119,781 179,073 20,368 408,069 607,510",,
"20141 7,621 36,736 31,039 4,013 6,568 162,623 248,600 19,807 321,890 590,297",,
"20151 1,895 28,504 30,928 566 21,082 141,744 224,719 33,374 233,160 491,253",,
"2016 ' 2,798 22,910 11,311 () 8,386 196,916 242,321 17,581 53,179 313,081",,
"2017' 1,447 13,329 12,969 234 2,586 169,161 199,726 11,503 143,447 354,676",,
"2018 ' 933 33,918 20,071 2,251 1,410 180,388 238,971 18,516 166,004 423,491",,
"20191 173 18,666 32,511 824 6,335 104,396 163,205 25,301 155,167 343,673",,
"2020 ' 2,979 36,054 34,448 1,150 16,041 228,277 318,950 18,758 308,687 646,395",,
"2021"" 658 26,868 17,068 423 10,108 151,830 206,956 18,500 249,382 474,838",,
"2022 ' 488 10,004 13,118 174 4,697 171,753 200,233 6,547 197,368 404,149",,
AVERAGE:,,
"1999-2022 2,852 21,654 15,810 1,362 9,212 142,570 193,473 19,096 259,166 471,735",,
% CHANGE FROM:,,
Prev. Year -26%,-63% -23%,-59% -54% 13% -3% 65% -21% -15%
Average 83%,-54% 17%,-87% -49% 20% 3% 66% -24% 14%
""" Preliminary FILE: S:\CF_D\projects\Monitoring\harvest datalDATABOOKIHIP\TealharHIP.xis 01/24/24",,
