CEN ATL MISS PAC
Cs
1999 0.88 1.16 1.26 0.97 1.05
2000 0.52 0.57 0.91 0.81 0.77
2001 0.87 1.04 1.41 0.62 0.93
2002 1.06 1.34 1.79 0.95 1.27
2003 ' 1.53 2.29 2.49 0.97 1.54
2004 ' 1.06 0.76 1.03 0.69 0.89
2005 ' 1.27 2.07 1.29 1.38 1.38
2006 ' 0.94 1.66 1.28 0.98 1.09
2007 ' 0.82 1.70 1.43 1.03 1.13
2008 ' 1.06 0.94 0.96 0.54 0.75
2009 ' 1.09 0.66 1.30 0.98 1.07
2010 ' 1.31 1.77 2.03 1.24 1.46
2011 ' 0.90 1.30 1.67 1.44 1.35
2012 ' 0.79 0.94 0.89 0.71 0.78
2013 ' 1.06 1.18 1.71 0.98 1.21
2014 ' 1.13 1.08 1.11 1.10 1.12
2015 ' 0.98 0.68 0.88 0.70 0.79
2016 ' 0.73 1.35 1.29 0.77 0.88
2017 ' 0.86 1.31 1.30 0.88 1.01
2018 ' 1.02 0.40 0.89 0.62 0.72
2019 ' 1.38 1.56 1.29 0.99 1.17
2020 ' 1.18 1.84 1.62 0.84 1.12
2021 ' 1.43 0.91 1.60 0.79 1.15
2022 ' 1.10 2.35 1.75 0.99 1.24
