[az [ co [NM Tur
"2003 ' 1,500 400 400 300"
2004! 900 300 100 <50
2005 | 800 200 100 100
2006 ' 600 900 100 200
"2007' 2,100 1,400 800 300"
"2008 | 1,288 2,324 550 315"
"2009 ' 1,322 2,390 500 198"
"2010 1,770 1,068 931 335"
2011! 538 210 257 155
"2012! 1,087 285 146 131"
2013' 380 242 113 254
2014 ' 982 297 150 ral
2015 ' 596 214 140 67
2016 ' 129 58 56 22
2017' 82 32 105 12
2018 | 149 NIA 94 19
"2019"" 488 34 68 30"
2020 ' 370 30 109 37
2021 ' 319 71 117 31
2022 ' 498 55 198 53
